"","playlist","acou","dance","energy","loud","speech","tempo","val"
"207",0,0.863,0.544,0.379,0.861820079133875,0.0412,0.947747125996077,0.322
"208",0,0.823,0.482,0.282,0.830623070568286,0.0302,0.266606598546863,0.128
"209",0,0.756,0.689,0.419,0.896191138745163,0.0279,0.348235339225121,0.566
"210",0,0.725,0.634,0.385,0.897234662376625,0.0285,0.501294020665989,0.152
"211",0,0.497,0.851,0.849,0.98639071263968,0.0828,0.438177763293267,0.844
"212",0,0.904,0.507,0.134,0.690138701682682,0.0368,0.539053863210833,0.377
"214",0,0.00444,0.801,0.641,0.862167920344363,0.0565,0.270491855657586,0.829
"215",0,0.879,0.4,0.323,0.82447062915779,0.0328,0.344388423467464,0.289
"216",0,0.965,0.71,0.0565,0.731683986260272,0.0534,0.463610860827279,0.348
"218",0,0.128,0.574,0.629,0.868298621679203,0.0363,0.649726178836851,0.786
"219",0,0.892,0.559,0.33,0.880560024348885,0.0285,0.534638217382692,0.285
"221",0,0.832,0.678,0.204,0.834471063959302,0.0525,0.411217401862112,0.299
"223",0,0.422,0.927,0.721,0.786860298273838,0.0908,0.32956949050732,0.965
"224",0,0.15,0.695,0.615,0.94417148571677,0.042,0.463745055563011,0.414
"225",0,0.859,0.795,0.378,0.842993173616244,0.316,0.311734371105956,0.576
"226",0,0.0189,0.596,0.838,0.918192095308492,0.0704,0.278217638300456,0.472
"227",0,0.598,0.667,0.199,0.833644941084395,0.0518,0.717034424144828,0.668
"228",0,0.323,0.56,0.825,0.975977216400713,0.0379,0.277891736799392,0.268
"229",0,0.722,0.707,0.412,0.855450236966825,0.0308,0.399945044060605,0.354
"230",0,0.565,0.857,0.517,0.908365581112222,0.0384,0.496002913942833,0.754
"231",0,0.863,0.54,0.226,0.819731292664898,0.0787,0.285726153275949,0.401
"233",0,0.355,0.761,0.386,0.926062002695769,0.0399,0.533577439947856,0.526
"235",0,0.562,0.592,0.637,0.875581547023784,0.0992,0.691786643150637,0.565
"237",0,0.129,0.456,0.342,0.882494891082221,0.0283,0.208596131357476,0.224
"238",0,0.418,0.886,0.578,0.868059480846993,0.0381,0.399842800452428,0.69
"239",0,0.325,0.615,0.472,0.927909909126484,0.0267,0.182939375930577,0.327
"240",0,0.913,0.33,0.225,0.817665985477629,0.0329,0.848647508770584,0.104
"242",0,0.511,0.618,0.377,0.913778859950433,0.033,0.757433429825739,0.303
"243",0,0.0259,0.518,0.575,0.959585199356494,0.0302,0.438209714420822,0.209
"244",0,0.0155,0.497,0.852,0.939997391190921,0.0405,0.558224539744008,0.713
"245",0,0.00474,0.841,0.741,0.92467063785382,0.0392,0.45715673306111,0.97
"247",0,0.358,0.595,0.608,0.944649767381191,0.0373,0.0602853874713239,0.452
"249",0,0.129,0.662,0.65,0.929909996086786,0.0383,0.425256727309907,0.481
"250",0,0.874,0.544,0.301,0.894712813600591,0.0265,0.538408450434216,0.251
"251",0,0.0707,0.587,0.647,0.925996782468803,0.0295,1,0.815
"253",0,0.527,0.405,0.944,0.875733727553372,0.249,0.899123900082434,0.71
"254",0,0.915,0.463,0.198,0.82073133614505,0.0387,0.461284818741253,0.369
"256",0,0.952,0.523,0.363,0.82494891082221,0.0335,0.438631469304552,0.116
"257",0,0.0367,0.558,0.719,0.948780381755728,0.0267,0.387139032136444,0.371
"258",0,0.741,0.556,0.322,0.842927953389278,0.0269,0.297458607314252,0.391
"259",0,0.0113,0.806,0.608,0.907582938388625,0.0659,0.278645783409697,0.849
"261",0,0.711,0.69,0.407,0.891690943084482,0.0297,0.386429717104717,0.181
"262",0,0.225,0.871,0.522,0.938171224835862,0.0419,0.463591690150745,0.887
"263",0,0.269,0.64,0.743,0.971237879907822,0.0379,0.451092409051115,0.361
"264",0,0.95,0.445,0.407,0.910300447845558,0.0349,0.51144169877755,0.231
"266",0,0.159,0.577,0.756,0.933410148267316,0.115,0.80073359788867,0.663
"267",0,0.746,0.427,0.262,0.8742554024088,0.0276,0.336387861127619,0.228
"268",0,0.287,0.765,0.473,0.933214487586417,0.0514,0.438037178332023,0.34
"270",0,0.00233,0.492,0.886,0.970607417713814,0.0399,0.738614215695672,0.653
"271",0,0.0756,0.51,0.424,0.889277794686725,0.0264,0.604828454396156,0.125
"272",0,0.664,0.675,0.418,0.870603069698683,0.229,0.591779613902575,0.515
"273",0,0.638,0.641,0.176,0.805752424018436,0.0349,0.15711647464039,0.297
"274",0,0.195,0.435,0.658,0.882125309796078,0.0661,0.503754257487747,0.184
"275",0,0.0802,0.87,0.554,0.933236227662072,0.0635,0.463636421729323,0.462
"276",0,0.739,0.479,0.368,0.890712639679986,0.0341,0.265290212091585,0.142
"277",0,0.695,0.358,0.557,0.899104308882995,0.059,0.214705186946047,0.494
"278",0,0.705,0.611,0.409,0.873559719987826,0.0339,0.794650103202142,0.672
"280",0,0.79,0.621,0.186,0.811926605504587,0.0266,0.33965326636377,0.387
